Designator,Mid X,Mid Y,Rotation,Layer
C1,49.7125,-76.45,180.0,top
C10,49.4,-118.0,270.0,top
C11,69.5,-103.0375,90.0,top
C12,71.5,-103.0375,90.0,top
C13,60.75,-100.25,0.0,top
C14,60.6875,-108.0,180.0,top
C15,60.75,-105.75,180.0,top
C19,47.45,-118.0,270.0,top
C2,45.7,-76.45,180.0,top
C21,46.35,-115.1,0.0,top
C22,45.45,-118.0,270.0,top
C23,49.25,-97.4375,270.0,top
C24,47.3,-97.4375,270.0,top
C25,45.35,-97.45,270.0,top
C26,46.25,-94.55,0.0,top
C3,49.7,-78.6,180.0,top
C4,45.7,-78.6,180.0,top
J2,37.2,-90.259626,90.0,top
J3,37.25,-66.829997,90.0,top
J6,37.2,-108.479552,90.0,top
J7,37.25,-75.499619,90.0,top
L2,65.75,-103.0,0.0,top
R1,49.7,-72.35,0.0,top
R10,45.7,-72.35,0.0,top
R11,51.35,-118.0,270.0,top
R12,52.35,-115.2,0.0,top
R13,70.75,-106.5,180.0,top
R14,67.0,-106.5,180.0,top
R2,49.7,-80.55,0.0,top
R3,49.7125,-74.5,0.0,top
R4,45.7,-74.5,0.0,top
R5,45.7,-80.55,0.0,top
R6,51.2,-97.45,270.0,top
R7,52.2,-94.6,0.0,top
R8,53.1,-97.45,270.0,top
R9,53.25,-118.0,270.0,top
U1,83.475,-109.5,270.0,top
U2,47.7,-88.0,180.0,top
U3,65.5,-117.8,180.0,top
U5,69.0,-71.19,270.0,top
U6,60.75,-103.0,0.0,top
U8,47.75,-108.5,180.0,top
