Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C2, C21, C26, C3, C4",0805,8,100nF,
"C10, C11, C12, C19, C22, C23, C24, C25",0805,8,10uF,
C14,1206,1,4.7uF,
J2,CONN-TH_S6B-XH-A-LF-SN,1,JST_EL,C157919
J3,CONN-TH_S2B-XH-A-LF-SN,1,END_AZ,C157931
J6,CONN-TH_S6B-XH-A-LF-SN,1,JST_AZ,C157919
J7,CONN-TH_S2B-XH-A-LF-SN,1,END_EL,C157931
L2,L_Bourns-SRN4018,1,15uH,
"R1, R10, R11, R12, R6, R7, R8, R9",0805,8,10k,
R13,0805,1,88.7k,
R14,0805,1,22.1k,
"R2, R3, R4, R5",0805,4,100R,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",smallpad,18,~,
"U1, U3",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,XT30PW-M,C431092
"U2, U8",HSOP-16_L13.5-W6.4-P1.00-LS9.6-BL-EP,2,"TB6642FG,8,EL",C2150576
U5,COMM-SMD_L51.0-W21.0-P2.54_SC0916,1,PICO,C7203002
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS560430XFDBVT,C2863641
